1.47,nan,-5.34,-6.52,3.72,nan,6.73,24.87,nan,-253.86,-7.98,8.04,nan,11.11,7.65,nan,-3.55,14.18,0.37,nan,-9.5,-11.49,nan,15.73,1.78,-1.93,9.16,-25.87,-169.22,14.56,1.62,12.26,6.59,10.83,-11.41,5.95,-47.57,nan,5.55,0.8,10.25,0.83,nan,1.5,nan,nan,nan,17.48,2.36,nan,nan,-21.78,8.99,1.35,1.5,nan,11.58,nan,0.23,13.75,21.66,6.95,nan,7.99,-11.55,-56.42,-17.9,nan,-6.9,3.65,4.01,nan,22.07,21.55,nan,18.56,27.8,-8.8,nan,nan,18.98,5.24,-0.13,11.93,-8.52,3.7,-4.57,4.78,nan,nan,-3.46,-1.09,-10.49,nan,-2.98,nan,nan,nan,nan
-5.35,nan,2.96,-16.78,-12.17,nan,10.6,10.76,nan,-260.91,-0.06,23.47,nan,11.54,-8.34,nan,-3.02,23.36,8.23,nan,-7.92,-9.81,nan,9.37,0.89,-4.82,-1.4,-19,-151.93,22.49,1.1,10.89,2.11,13.13,-8.69,-4.06,-27.65,nan,4.02,-3.38,4.78,0.73,nan,10.66,nan,nan,nan,17.04,7.66,nan,nan,-8.63,21.84,1.34,-4.6,nan,15.68,nan,-2,17.25,5.96,-5.07,nan,13.54,-3.98,-56.04,-8.43,nan,-26.36,-0.5,7.95,nan,17.42,28.81,nan,31.21,12.87,-2.95,nan,nan,15.39,16.98,-0.43,10.46,-13.68,3.63,-0.75,14.09,nan,nan,6.13,-6.62,3.76,nan,-2.06,nan,nan,nan,nan
-0.96,nan,-1.21,-14.31,2.56,nan,7.56,8.78,nan,-269.9,-8.72,7.83,nan,7.55,5.25,nan,3.85,10.63,-5.58,nan,-7.17,-11.92,nan,6.14,-11.83,-6.04,3.69,-21.28,-176.79,8.39,-3.58,3.78,5.43,1.73,-15.7,-0.15,-41.57,nan,7.28,-0.19,1.15,-10.07,nan,-2.99,nan,nan,nan,9.81,-6.67,nan,nan,-2.28,8.1,-3.11,-8.66,nan,6.46,nan,-8.31,3.56,17.6,2.6,nan,13.84,-2.4,-59.26,-27.81,nan,0.13,-3.88,-3.6,nan,10.29,23.28,nan,16.74,2.69,-4.03,nan,nan,2.09,9.84,3.71,1.42,5.6,1.98,-2.19,3.8,nan,nan,-10.33,-13.05,-2.6,nan,0.8,nan,nan,nan,nan
-5.47,nan,10.32,-12.88,-9.62,nan,7.72,8.69,nan,-263.99,-6.79,6.3,nan,14.17,0.82,nan,2.2,13.09,2.22,nan,-3.5,-3.97,nan,12.17,-5.73,0.08,20.4,-22.83,-167.22,14.62,2.05,11.5,5.42,11.58,-11.51,-0.84,-44.83,nan,7.1,1.43,23.6,0.07,nan,-0.54,nan,nan,nan,14.05,-3.85,nan,nan,-8.47,8.35,4.88,-4.59,nan,8.97,nan,-0.21,7.56,12.29,14.21,nan,17.36,-5.06,-56.62,-14.05,nan,2.07,-6.44,-2.24,nan,13.92,21.04,nan,16.62,15.58,2.37,nan,nan,6.13,3.52,3.34,7.03,9.74,5.96,-5.51,1.09,nan,nan,0.74,5.9,5,nan,0.28,nan,nan,nan,nan
-6.93,nan,15.56,-6.06,-0.98,nan,1.89,15,nan,-265.64,-1.41,4.27,nan,17.96,2.36,nan,0.12,16.89,0.28,nan,-2.18,-2.28,nan,12.36,-6.93,1.69,21.3,-5.88,-164.83,14.69,3.05,9.39,4.25,13.35,-8.17,1.83,-43.55,nan,8.34,-1.03,8.32,1.95,nan,6.77,nan,nan,nan,12.58,-4.16,nan,nan,-23.18,8.86,1.65,-8.75,nan,10.8,nan,3.07,6.61,16.79,10.79,nan,5.47,-5.41,-57.34,-13.15,nan,8.01,-4.34,-1.94,nan,12.21,31.77,nan,18.4,15.24,2.6,nan,nan,4.31,-2.81,-1.11,7.38,11.64,14.16,4.25,1.18,nan,nan,1.4,1.62,8.31,nan,-3.67,nan,nan,nan,nan
-2.63,nan,-5.63,-2.01,-16,nan,2.39,3.72,nan,-267.1,2.13,8.42,nan,23.7,3.41,nan,-1.88,14.5,2.97,nan,-0.66,-4.1,nan,8.48,-8.43,2.38,33.63,-52.33,-169.64,12.15,3.06,12.53,4.88,12.54,0.3,-4.96,-49.03,nan,4.96,-0.21,18.83,-0.88,nan,3.56,nan,nan,nan,17.13,-9.83,nan,nan,-25.58,9.2,2.44,-2.11,nan,9.96,nan,-4.72,18.87,18.22,19.14,nan,12.47,-3.07,-59.97,-8.88,nan,6.2,2.17,0.16,nan,14.98,25.44,nan,25.82,22.62,1.04,nan,nan,3.6,1.7,-1.35,7.34,13.33,1.02,2.51,5.27,nan,nan,3.55,8.2,-4.96,nan,3.54,nan,nan,nan,nan
-6.85,nan,20.57,-16.97,-19.03,nan,5.31,6.57,nan,-264.15,3.41,3.04,nan,17.97,3.78,nan,-4.72,16.72,2.11,nan,-2,-2.21,nan,7.16,4.32,2.06,25.71,nan,-170.49,12.48,3.99,14.68,4.04,15.42,-11.55,3.24,-37.28,nan,7.88,1.19,22.91,-5.32,nan,8.49,nan,nan,nan,14.21,12.47,nan,nan,-30.46,9.02,2.6,-3.62,nan,6.8,nan,8.29,4.28,15.58,22.41,nan,15.96,-1.7,-54.83,-13.61,nan,3.17,-5.34,0.59,nan,17.26,23.87,nan,19.52,23.48,1.98,nan,nan,3.58,-0.89,1.28,5.79,11.61,-6.26,5.22,3.86,nan,nan,-1.84,5.34,7.69,nan,1.9,nan,nan,nan,nan
-6.9,nan,5.85,-7.84,-6.08,nan,7.35,1.93,nan,-264.39,6.6,11.96,nan,27.35,7.42,nan,7.09,19.23,5.71,nan,-2.05,1.09,nan,14.08,0.82,3.5,68.27,-9.84,-173.43,14.54,10.23,17.59,5.02,17.65,-20.76,0.61,-39.27,nan,10.96,5.98,10.97,-1.59,nan,3,nan,nan,nan,19.6,-10.95,nan,nan,-11.8,9.9,6.79,-2.21,nan,12.65,nan,7.57,6.25,16.4,17.32,nan,7.34,-5.39,-54.83,-18.46,nan,9.51,-2.48,6.37,nan,22.87,30.09,nan,28.54,21.67,2.27,nan,nan,18.75,7.95,-1.82,12,10.32,9.86,10.64,2.7,nan,nan,-0.04,7.01,6.7,nan,7.93,nan,nan,nan,nan
-3.08,nan,7.5,-5.73,-7.22,nan,6.44,35.55,nan,-252.45,0.83,-2.15,nan,18.09,6.87,nan,2.41,20.37,1.51,nan,-9.63,-1.67,nan,13.07,-2.83,-4.96,48.01,-21.99,-173.51,13.34,6.01,11.45,9.92,9.83,-11.79,5.31,-32.77,nan,8.11,7.43,-7.03,-5.39,nan,6.6,nan,nan,nan,14.65,5.29,nan,nan,0.86,11.95,6.15,-2.16,nan,13.74,nan,1.18,18.63,21.22,10.3,nan,4.77,-3.78,-62.67,-20.23,nan,5.87,0.53,5.19,nan,15.17,20.97,nan,46.07,17.56,2.54,nan,nan,10.57,10.76,1.5,7.15,16.99,5.31,1.83,8.7,nan,nan,-6.39,-5.49,-3.68,nan,7.14,nan,nan,nan,nan
-3.49,nan,9.25,-12.59,-17.81,nan,1.55,4.29,nan,-276.95,-15.73,2.51,nan,15.06,-7.11,nan,-8.93,10.91,-6.31,nan,-10.52,0.76,nan,-0.06,5.95,-6.36,16.71,-19.55,-175.82,8.89,-3.03,6.12,-1.13,6.71,-13.45,-7.98,-45.24,nan,-0.79,-6.21,10.75,-5.5,nan,-4.5,nan,nan,nan,8.47,-11.58,nan,nan,-13.92,-2.97,-4.76,-13.02,nan,4.69,nan,-7.34,2.68,19.58,11.88,nan,13.01,-9.28,-66.75,-24.52,nan,2.31,-14.46,5.94,nan,11.87,14.18,nan,24.97,12.01,-2.6,nan,nan,-4.29,0.23,-3.32,-1.59,5.59,0.33,-7.36,-5.07,nan,nan,-8.11,5.96,9.81,nan,2.77,nan,nan,nan,nan
-2.85,nan,9.12,-6.8,-20.94,nan,2.35,8.11,nan,-269.51,-10.44,3.06,nan,11.67,-4.78,nan,0.49,10.92,-0.7,nan,0.56,-3.22,nan,3.17,6.48,-6.97,16.98,-14.88,-174.19,10.3,0.56,8.81,5.94,7.67,-12.04,-4.37,-42.48,nan,3.49,-2.76,13.61,0.16,nan,1.57,nan,nan,nan,12.47,-7.46,nan,nan,-11.26,4.34,-1.23,-8.98,nan,7.65,nan,1.77,4.04,8.95,15.06,nan,17.7,-3.17,-60.08,-19.31,nan,0.45,-10.43,-0.14,nan,10.15,16.35,nan,14.86,12.92,3.78,nan,nan,-1.67,-0.54,-1.6,5.04,6.86,4.41,-7.06,0.05,nan,nan,-4.4,-2.92,-0.08,nan,2.97,nan,nan,nan,nan
